all time stamps are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred,all sensor labled are blurred
,C1,B2,A1,A2,B3,D1,Y,B1(MV),C2(MV),D3,D2,Z
1,115.029152,10529.00293,210.009689,1734.498413,0.806582,0.469912,3.534639,58.40625,62.375,51.872486,85.782921,1568.126099
2,115.02652,10529.3125,210.176483,1734.937988,0.805243,0.469769,3.539685,58.40625,62.375,51.875957,85.792633,1571.526123
3,115.088623,10532.30664,210.162033,1735.010132,0.803995,0.469291,3.541965,58.40625,62.375,51.884521,85.886673,1571.525269
4,115.541527,10531.84961,210.184067,1734.818604,0.806756,0.468169,3.534249,58.40625,62.375,51.889687,85.959854,1567.895142
5,114.960342,10530.47168,209.944489,1735.597046,0.806411,0.469735,3.525189,58.40625,62.375,51.890503,86.018341,1564.943604
6,115.454269,10527.76856,210.123138,1735.099243,0.803064,0.469766,3.539492,58.40625,62.375,51.905529,85.858444,1571.307861
7,115.276291,10528.51953,210.105179,1734.928955,0.810753,0.470554,3.538207,58.40625,62.375,51.91399,85.866989,1569.581055
8,115.492775,10528.55762,210.235489,1734.70874,0.808764,0.470963,3.53211,58.40625,62.375,51.918839,85.941917,1567.321289
9,115.137482,10524.3584,210.056564,1734.83667,0.807508,0.469134,3.528933,58.40625,62.375,51.930439,85.774994,1567.796997
10,115.087753,10527.17481,210.264069,1734.954102,0.803749,0.469612,3.531689,58.40625,62.375,51.92371,85.84906,1567.826416
11,115.432716,10527.27246,210.144653,1735.143066,0.805619,0.468454,3.531856,58.40625,62.375,51.925278,85.773811,1568.504761
12,115.450447,10531.76758,210.067123,1734.996094,0.806827,0.468537,3.528209,58.40625,62.375,51.927631,85.717392,1569.042358
13,115.396942,10532.7002,210.223419,1734.651367,0.806864,0.468879,3.528461,58.40625,62.375,51.934586,85.643059,1568.099976
14,115.411934,10530.95898,210.156647,1735.182495,0.805575,0.469309,3.531739,58.40625,62.375,51.936211,85.735931,1571.973999
15,115.148682,10526.99121,210.082367,1734.934326,0.807712,0.469253,3.525703,58.40625,62.375,51.938366,85.961922,1567.403564
16,115.200935,10528.18164,210.043381,1735.025146,0.808318,0.46954,3.519742,58.40625,62.375,51.94191,85.778526,1565.927124
17,115.137726,10526.75586,210.062622,1735.058594,0.805508,0.469091,3.517155,58.40625,62.375,51.943893,85.721825,1563.681396
18,115.07431,10527.31641,210.087494,1734.900635,0.807412,0.469711,3.523292,58.40625,62.375,51.94046,85.849144,1565.425537
19,115.006638,10526.91504,210.051147,1734.779541,0.803094,0.469246,3.510269,58.40625,62.375,51.954132,85.792633,1563.762451
20,114.869453,10524.90234,210.066803,1735.083862,0.803727,0.469284,3.522404,58.40625,62.375,51.941849,85.731514,1563.902832
21,114.943451,10526.6416,210.03392,1735.588867,0.801777,0.470624,3.525656,58.40625,62.375,51.942616,85.999535,1567.174927
22,115.065582,10524.51367,210.038788,1735.660156,0.800671,0.468856,3.521715,58.40625,62.375,51.944382,85.853767,1567.934326
23,114.941765,10526.58984,210.169617,1735.370361,0.802049,0.468812,3.523574,58.40625,62.375,51.948795,85.792702,1565.434937
24,114.739777,10528.43848,210.122604,1734.813965,0.802371,0.468454,3.522527,58.40625,62.375,51.939529,85.806747,1564.598633
25,115.47641,10531.90723,210.193497,1735.231445,0.802551,0.468085,3.520784,58.40625,62.375,51.935333,85.797272,1564.681274
26,115.296043,10532.27246,210.050797,1734.737671,0.805274,0.467274,3.513902,58.40625,62.375,51.936073,85.811432,1563.984863
27,114.975723,10528.32031,210.187698,1735.28894,0.800653,0.466178,3.524673,58.40625,62.375,51.940319,85.796165,1565.318359
28,114.927734,10525.87891,210.047089,1734.653564,0.800451,0.465473,3.524399,58.40625,62.375,51.947285,85.775002,1566.631348
